client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount,event
client10411,2019-08-12,34,10,9168,43,28,23,20,10,9168,916.8,4.3,160,False
client10412,2019-06-19,6,4,1555,9,6,4,74,4,1555,388.75,2.25,165,False
client10413,2019-08-20,1,1,1299,1,1,0,12,1,1299,1299.0,1.0,1299,True
client10414,2019-01-13,25,1,842,29,25,25,231,1,842,842.0,29.0,69,False
client10415,2018-07-29,2,1,1965,5,2,2,399,1,1965,1965.0,5.0,1196,False
client10416,2019-08-30,13,5,6334,23,13,9,2,5,6334,1266.8,4.6,28,False
client10417,2017-12-25,5,2,4872,9,5,2,615,2,4872,2436.0,4.5,140,False
client10419,2019-05-13,20,6,4134,42,19,16,111,6,4134,689.0,7.0,219,False
client1042,2019-05-01,68,12,44609,153,55,17,123,12,44609,3717.4166666666665,12.75,676,False
client10420,2019-06-24,4,1,229,4,4,0,69,1,229,229.0,4.0,79,False
client10421,2019-08-30,8,1,3787,11,8,0,2,1,3787,3787.0,11.0,599,True
client10422,2018-08-17,5,1,2705,21,5,0,380,1,2705,2705.0,21.0,318,False
client10423,2018-02-07,9,1,1052,18,9,0,571,1,1052,1052.0,18.0,16,False
client10424,2019-06-26,17,5,4998,26,17,6,67,5,4998,999.6,5.2,177,False
client10425,2019-06-23,81,16,59081,201,75,57,70,16,59081,3692.5625,12.5625,1497,False
client10427,2018-12-01,33,5,21275,109,27,13,274,5,21275,4255.0,21.8,207,False
client10428,2019-08-26,5,2,2531,5,5,0,6,2,2531,1265.5,2.5,69,False
client10429,2019-06-22,1,1,1499,1,1,1,71,1,1499,1499.0,1.0,1499,False
client1043,2019-06-09,19,1,3226,22,19,19,84,1,3226,3226.0,22.0,55,False
client10430,2019-06-09,47,5,4879,73,46,5,84,5,4879,975.8,14.6,29,True
client10431,2019-08-26,10,5,2511,29,9,0,6,5,2511,502.2,5.8,638,True
client10432,2018-04-30,5,2,3324,5,5,1,489,2,3324,1662.0,2.5,199,False
client10433,2019-07-26,14,2,18656,19,13,9,37,2,18656,9328.0,9.5,4214,False
client10434,2019-01-03,4,1,3984,6,4,0,241,1,3984,3984.0,6.0,149,False
client10435,2019-08-19,85,23,24715,128,79,19,13,23,24715,1074.5652173913043,5.565217391304348,99,False
client10436,2019-01-10,4,1,17487,4,4,0,234,1,17487,17487.0,4.0,12619,False
client10437,2019-08-07,14,5,2753,15,14,0,25,5,2753,550.6,3.0,12,False
client10438,2019-08-08,17,9,3126,18,17,1,24,9,3126,347.3333333333333,2.0,29,True
client10439,2019-08-29,97,10,76731,174,84,27,3,10,76731,7673.1,17.4,1199,False
client1044,2018-04-25,3,2,2128,7,3,0,494,2,2128,1064.0,3.5,269,False
client10441,2019-04-04,13,3,25327,31,13,0,150,3,25327,8442.333333333334,10.333333333333334,24,False
client10442,2019-03-08,8,4,6868,30,8,0,177,4,6868,1717.0,7.5,203,False
client10443,2018-12-31,1,1,32,1,1,0,244,1,32,32.0,1.0,32,False
client10444,2019-04-12,1,1,1313,1,1,0,142,1,1313,1313.0,1.0,1313,False
client10445,2017-11-05,1,1,12006,25,1,1,665,1,12006,12006.0,25.0,12006,False
client10446,2018-05-21,4,2,1489,10,4,3,468,2,1489,744.5,5.0,205,False
client10447,2018-05-27,3,1,6641,3,3,3,462,1,6641,6641.0,3.0,152,False
client10448,2019-04-13,16,4,15796,19,16,10,141,4,15796,3949.0,4.75,69,False
client10449,2019-03-05,8,1,1033,9,8,0,180,1,1033,1033.0,9.0,449,False
client1045,2018-12-01,13,3,16685,46,12,2,274,3,16685,5561.666666666667,15.333333333333334,657,True
client10451,2018-11-14,24,3,11245,59,24,5,291,3,11245,3748.3333333333335,19.666666666666668,970,False
client10452,2019-02-12,6,3,1680,6,6,0,201,3,1680,560.0,2.0,99,False
client10453,2019-08-22,29,4,5301,36,29,13,10,4,5301,1325.25,9.0,199,False
client10455,2019-04-01,11,2,1705,12,10,10,153,2,1705,852.5,6.0,599,False
client10456,2018-04-13,10,1,2262,11,10,0,506,1,2262,2262.0,11.0,699,False
client10457,2019-06-16,17,6,2678,34,15,7,77,6,2678,446.3333333333333,5.666666666666667,399,False
client10458,2019-08-04,62,15,14457,93,56,9,28,15,14457,963.8,6.2,27,False
client10459,2019-08-29,4,2,1293,11,4,0,3,2,1293,646.5,5.5,399,True
client1046,2019-08-19,20,9,9702,32,19,8,13,9,9702,1078.0,3.5555555555555554,99,True
client10460,2018-08-12,3,1,1966,4,3,3,385,1,1966,1966.0,4.0,169,False
client10461,2019-02-10,5,2,901,5,5,2,203,2,901,450.5,2.5,269,True
client10462,2019-05-09,1,1,3499,1,1,0,115,1,3499,3499.0,1.0,3499,False
client10463,2019-06-18,1,1,6299,1,1,0,75,1,6299,6299.0,1.0,6299,False
client10464,2019-04-30,12,2,5238,18,12,0,124,2,5238,2619.0,9.0,3999,False
client10465,2019-08-18,4,1,2080,5,4,4,14,1,2080,2080.0,5.0,12,True
client10466,2019-07-30,46,5,42263,193,46,0,33,5,42263,8452.6,38.6,398,False
client10467,2018-11-30,6,1,5970,14,6,0,275,1,5970,5970.0,14.0,267,False
client10468,2019-08-23,11,3,1707,23,11,3,9,3,1707,569.0,7.666666666666667,139,True
client10469,2019-03-20,10,2,2506,22,10,0,165,2,2506,1253.0,11.0,60,True
client1047,2019-08-06,3,1,1302,3,3,0,26,1,1302,1302.0,3.0,599,False
client10470,2019-02-07,3,1,1316,5,3,0,206,1,1316,1316.0,5.0,891,False
client10471,2018-06-08,5,1,1565,5,5,0,450,1,1565,1565.0,5.0,169,False
client10472,2018-11-17,8,3,3180,26,8,4,288,3,3180,1060.0,8.666666666666666,50,False
client10473,2019-02-11,64,17,46839,149,50,8,202,17,46839,2755.235294117647,8.764705882352942,118,False
client10474,2019-08-21,6,2,5354,48,6,0,11,2,5354,2677.0,24.0,178,False
client10475,2019-07-03,49,12,11771,84,45,13,60,12,11771,980.9166666666666,7.0,3508,False
client10476,2019-05-12,83,15,149386,283,81,48,112,15,149386,9959.066666666668,18.866666666666667,23,False
client10477,2017-09-13,17,2,22914,30,16,0,718,2,22914,11457.0,15.0,239,True
client10478,2019-07-27,5,1,4669,9,5,5,36,1,4669,4669.0,9.0,50,False
client10479,2019-05-26,7,2,9929,15,7,2,98,2,9929,4964.5,7.5,6649,False
client1048,2019-08-28,18,3,2697,19,18,0,4,3,2697,899.0,6.333333333333333,159,False
client10480,2019-06-22,108,24,122321,235,95,51,71,24,122321,5096.708333333333,9.791666666666666,123,False
client10481,2019-07-29,50,29,88706,207,44,14,34,29,88706,3058.8275862068967,7.137931034482759,169,True
client10482,2019-01-21,1,1,3499,1,1,0,223,1,3499,3499.0,1.0,3499,False
client10483,2018-05-14,7,1,1043,8,7,0,475,1,1043,1043.0,8.0,321,False
client10484,2018-11-26,31,7,59804,97,29,2,279,7,59804,8543.42857142857,13.857142857142858,113,False
client10485,2018-07-22,3,2,3578,7,3,3,406,2,3578,1789.0,3.5,579,False
client10486,2019-07-25,20,11,56563,45,19,8,38,11,56563,5142.090909090909,4.090909090909091,3996,True
client10487,2019-08-23,76,25,18284,105,64,12,9,25,18284,731.36,4.2,190,False
client10488,2019-08-24,1,1,29,1,1,1,8,1,29,29.0,1.0,29,False
client10489,2017-10-08,3,1,1183,3,3,3,693,1,1183,1183.0,3.0,549,False
client1049,2018-04-19,41,1,1050,42,41,0,500,1,1050,1050.0,42.0,99,False
client10490,2018-09-02,8,1,4716,18,8,8,364,1,4716,4716.0,18.0,210,False
client10491,2019-07-23,2,2,2738,2,2,1,40,2,2738,1369.0,1.0,1499,True
client10492,2018-07-25,1,1,3299,1,1,0,403,1,3299,3299.0,1.0,3299,False
client10493,2019-08-17,13,4,4694,15,11,2,15,4,4694,1173.5,3.75,675,False
client10494,2019-08-12,36,8,36515,73,29,8,20,8,36515,4564.375,9.125,190,True
client10495,2019-08-11,101,11,17776,159,90,80,21,11,17776,1616.0,14.454545454545455,243,True
client10496,2018-08-16,1,1,2444,1,1,0,381,1,2444,2444.0,1.0,2444,False
client10497,2019-08-03,3,3,395,4,3,2,29,3,395,131.66666666666666,1.3333333333333333,58,True
client10498,2019-06-22,5,1,7245,5,5,5,71,1,7245,7245.0,5.0,5499,False
client10499,2019-08-04,8,4,3225,9,8,1,28,4,3225,806.25,2.25,349,False
client105,2019-06-02,32,3,5522,41,32,23,91,3,5522,1840.6666666666667,13.666666666666666,56,False
client1050,2019-01-20,5,2,2586,6,5,5,224,2,2586,1293.0,3.0,85,False
client10500,2019-04-30,3,1,1027,7,3,0,124,1,1027,1027.0,7.0,180,False
client10501,2019-07-13,42,9,11417,64,37,13,50,9,11417,1268.5555555555557,7.111111111111111,67,False
client10502,2019-08-25,5,2,5805,6,5,4,7,2,5805,2902.5,3.0,69,False
client10503,2019-08-23,200,85,92022,460,164,52,9,85,92022,1082.6117647058823,5.411764705882353,289,True
client10504,2019-08-04,40,12,11808,49,39,5,28,12,11808,984.0,4.083333333333333,109,False
client10505,2019-03-06,5,2,1733,6,5,0,179,2,1733,866.5,3.0,199,False
client10506,2019-01-05,1,1,297,3,1,1,239,1,297,297.0,3.0,297,False
client10508,2019-07-19,22,7,14827,46,21,10,44,7,14827,2118.1428571428573,6.571428571428571,416,True
client10509,2019-08-26,37,7,23089,71,35,6,6,7,23089,3298.4285714285716,10.142857142857142,25,True
client1051,2019-01-05,1,1,5299,1,1,1,239,1,5299,5299.0,1.0,5299,False
client10510,2017-12-26,16,2,2956,63,16,0,614,2,2956,1478.0,31.5,269,False
client10511,2019-08-23,59,23,21701,186,48,15,9,23,21701,943.5217391304348,8.08695652173913,258,True
client10512,2019-06-04,13,6,7150,37,13,3,89,6,7150,1191.6666666666667,6.166666666666667,99,True
client10513,2019-08-24,121,17,85415,263,101,43,8,17,85415,5024.411764705882,15.470588235294118,116,True
client10514,2019-07-17,40,6,16265,55,36,0,46,6,16265,2710.8333333333335,9.166666666666666,58,False
