item,abc,xyz,abc_xyz
sku17940,C,Z,CZ
sku21500,C,X,CX
sku14077,C,Z,CZ
sku6265,C,Z,CZ
sku26984,C,X,CX
sku23304,C,Z,CZ
sku4540,C,X,CX
sku1073,C,Z,CZ
sku24992,C,Z,CZ
sku18097,C,Z,CZ
sku13548,C,Z,CZ
sku11446,C,X,CX
sku15398,C,X,CX
sku22568,C,Z,CZ
sku5446,C,Z,CZ
sku24563,C,Z,CZ
sku19176,C,Y,CY
sku13239,C,Y,CY
sku21025,C,X,CX
sku28396,C,Z,CZ
sku4384,C,Z,CZ
sku10254,C,Z,CZ
sku30152,C,Z,CZ
sku15575,C,Z,CZ
sku12743,C,X,CX
sku12864,C,Z,CZ
sku443,C,X,CX
sku3148,C,Z,CZ
sku23770,C,X,CX
sku24106,C,Z,CZ
sku30350,C,Z,CZ
sku18484,C,Z,CZ
sku9869,C,Z,CZ
sku16494,C,Z,CZ
sku13750,C,Z,CZ
sku26651,C,X,CX
sku10017,C,Z,CZ
sku13489,C,Z,CZ
sku3431,C,Z,CZ
sku17181,C,Z,CZ
sku13057,C,Z,CZ
sku9216,C,Z,CZ
sku28930,C,X,CX
sku29458,C,Z,CZ
sku5923,C,X,CX
sku1848,C,Z,CZ
sku26228,C,Z,CZ
sku22389,C,X,CX
sku30544,C,Z,CZ
sku5140,C,Z,CZ
sku11489,C,Z,CZ
sku29863,C,Z,CZ
sku6425,C,Z,CZ
sku18616,C,Z,CZ
sku17700,C,Z,CZ
sku26960,C,Z,CZ
sku5706,C,Z,CZ
sku30579,C,Z,CZ
sku3579,C,X,CX
sku2804,C,Z,CZ
sku26207,C,Z,CZ
sku22996,C,Z,CZ
sku4497,C,Z,CZ
sku27122,C,Z,CZ
sku16556,C,Z,CZ
sku28078,C,Z,CZ
sku12714,C,Z,CZ
sku26213,C,Z,CZ
sku23963,C,Z,CZ
sku7350,C,Z,CZ
sku14854,C,Z,CZ
sku25761,C,X,CX
sku7497,C,Z,CZ
sku18520,C,Z,CZ
sku1705,C,Z,CZ
sku22245,C,Z,CZ
sku18039,C,X,CX
sku27579,C,Z,CZ
sku5816,C,Z,CZ
sku19404,C,Z,CZ
sku22559,C,Z,CZ
sku30533,C,X,CX
sku2701,C,Z,CZ
sku28116,C,Z,CZ
sku420,C,X,CX
sku28388,C,Z,CZ
sku8573,C,X,CX
sku23668,C,Y,CY
sku8681,C,Z,CZ
sku20253,C,Z,CZ
sku11142,C,Z,CZ
sku11531,C,Z,CZ
sku2409,C,Z,CZ
sku175,C,Z,CZ
sku21312,C,Z,CZ
sku27335,C,Z,CZ
sku24153,C,Z,CZ
sku12949,C,Z,CZ
sku9757,C,Z,CZ
sku8419,C,Z,CZ
sku2824,C,Z,CZ
sku3130,C,X,CX
sku1694,C,Z,CZ
sku20532,C,Z,CZ
sku14337,C,Z,CZ
sku3069,C,X,CX
sku8801,C,Z,CZ
sku20099,C,X,CX
sku1757,C,Z,CZ
sku12996,C,X,CX
sku16224,C,X,CX
sku29933,C,Z,CZ
sku25568,C,X,CX
sku26435,C,Z,CZ
sku15235,C,Z,CZ
sku13162,C,X,CX
sku11449,C,X,CX
sku28663,C,Z,CZ
sku360,C,Z,CZ
sku11335,C,Z,CZ
sku13218,C,Z,CZ
sku27752,C,Z,CZ
sku26044,C,X,CX
sku20263,C,Z,CZ
sku1693,C,Z,CZ
sku11068,C,Z,CZ
sku10321,C,Z,CZ
sku23056,C,Z,CZ
sku11900,C,Z,CZ
sku12342,C,Z,CZ
sku29574,C,Z,CZ
sku2582,C,Z,CZ
sku29405,C,Z,CZ
sku8319,C,Y,CY
sku5515,C,Z,CZ
sku20781,C,Z,CZ
sku28482,C,X,CX
sku7979,C,Z,CZ
sku2505,C,Z,CZ
sku575,C,Z,CZ
sku7697,C,Z,CZ
sku4073,C,Y,CY
sku28943,C,Z,CZ
sku16623,C,Z,CZ
sku18525,C,X,CX
sku27449,C,Z,CZ
sku16506,C,X,CX
sku6117,C,Z,CZ
sku18420,C,Z,CZ
sku24882,C,Z,CZ
sku11981,C,Z,CZ
sku14307,C,Z,CZ
sku15050,C,Z,CZ
sku9148,C,Z,CZ
sku8524,C,Y,CY
sku23698,C,X,CX
sku15104,C,Z,CZ
sku16089,C,Z,CZ
sku28144,C,Z,CZ
sku22634,C,X,CX
sku14464,C,X,CX
sku2085,C,X,CX
sku1912,C,Z,CZ
sku12018,C,Z,CZ
sku5467,C,Z,CZ
sku29747,C,Z,CZ
sku23083,C,Z,CZ
sku27669,C,Z,CZ
sku25034,C,Z,CZ
sku25240,C,Z,CZ
sku20334,C,Z,CZ
sku11201,C,Z,CZ
sku24240,C,Z,CZ
sku21091,C,Z,CZ
sku13743,C,X,CX
sku20068,C,Z,CZ
sku20702,C,Z,CZ
sku25239,C,Z,CZ
sku21738,C,Z,CZ
sku4942,C,X,CX
sku24221,C,Z,CZ
sku17211,C,Y,CY
sku17514,C,X,CX
sku821,C,Z,CZ
sku30344,C,Z,CZ
sku15553,C,Z,CZ
sku16794,C,X,CX
sku15637,C,Y,CY
sku16059,C,X,CX
sku5040,C,X,CX
sku8934,C,Z,CZ
sku22337,C,X,CX
sku22093,C,Y,CY
sku29885,C,Z,CZ
sku22983,C,Z,CZ
sku13756,C,Z,CZ
sku12630,C,Z,CZ
sku13616,C,Z,CZ
sku22689,C,Z,CZ
sku7862,C,Z,CZ
sku17727,C,Z,CZ
sku26329,C,Z,CZ
sku30183,C,Z,CZ
sku25863,C,X,CX
sku24936,C,Z,CZ
sku17279,C,Z,CZ
sku15305,C,Z,CZ
sku18173,C,Z,CZ
sku8888,C,Z,CZ
sku21464,C,Y,CY
sku27035,C,Z,CZ
sku19781,C,Z,CZ
sku13295,C,Z,CZ
sku12809,C,Y,CY
sku2373,C,Z,CZ
sku10377,C,Z,CZ
sku23336,C,Z,CZ
sku9353,C,Z,CZ
sku19006,C,Z,CZ
sku21054,C,Z,CZ
sku8432,C,Z,CZ
sku19975,C,Z,CZ
sku2034,C,X,CX
