item,abc,xyz,abc_xyz
sku26161,A,Z,AZ
sku18199,A,Z,AZ
sku21947,A,Z,AZ
sku28128,A,Z,AZ
sku8342,A,Z,AZ
sku29626,A,Z,AZ
sku9018,A,Z,AZ
sku9471,A,Z,AZ
sku25074,A,Z,AZ
sku27791,A,Z,AZ
sku15054,A,Z,AZ
sku18190,A,Z,AZ
sku5485,A,Z,AZ
sku30530,A,Z,AZ
sku15843,A,Z,AZ
sku19100,A,Z,AZ
sku5963,A,Z,AZ
sku28360,A,Z,AZ
sku15562,A,Z,AZ
sku28905,A,Z,AZ
sku5289,A,Z,AZ
sku1895,A,Y,AY
sku28010,A,Z,AZ
sku27161,A,X,AX
sku24968,A,X,AX
sku29549,A,Z,AZ
sku3068,A,Z,AZ
sku17231,A,X,AX
sku22208,A,Z,AZ
sku16538,A,Z,AZ
sku5324,A,Y,AY
sku6012,A,Z,AZ
sku8146,A,X,AX
sku17558,A,Z,AZ
sku23142,A,Z,AZ
sku8159,A,Z,AZ
sku10097,A,Z,AZ
sku22173,A,X,AX
sku767,A,X,AX
sku25704,A,Z,AZ
sku20519,A,Z,AZ
sku1277,A,Z,AZ
sku29856,A,Y,AY
sku9057,A,Z,AZ
sku24042,A,Z,AZ
sku25418,A,Z,AZ
sku19934,A,Z,AZ
sku26841,A,Z,AZ
sku4786,A,X,AX
sku4416,A,Z,AZ
sku6830,A,Z,AZ
sku13806,A,X,AX
sku3243,A,Z,AZ
sku28432,A,Z,AZ
sku6420,A,Z,AZ
sku30008,A,Z,AZ
sku3397,A,Z,AZ
sku29932,A,X,AX
sku5408,A,Z,AZ
sku24343,A,Z,AZ
sku23117,A,Z,AZ
sku8354,A,Z,AZ
sku18140,A,Z,AZ
sku18212,A,Z,AZ
sku16079,A,Z,AZ
sku23213,A,X,AX
sku9689,A,Z,AZ
sku23883,A,X,AX
sku13085,A,Z,AZ
sku1955,A,X,AX
sku4187,A,X,AX
sku16314,A,X,AX
sku5403,A,Z,AZ
sku6834,A,X,AX
sku18850,A,X,AX
sku16598,A,X,AX
sku23319,A,X,AX
sku30513,A,Z,AZ
sku28013,A,Z,AZ
sku11004,A,Z,AZ
sku9685,A,Z,AZ
sku15942,A,Z,AZ
sku5374,A,X,AX
sku885,A,Z,AZ
sku27209,A,Z,AZ
sku6950,A,Z,AZ
sku906,A,X,AX
sku9832,A,Z,AZ
sku19372,A,Z,AZ
sku2473,A,Z,AZ
sku12097,A,Z,AZ
sku29329,A,Z,AZ
sku4798,A,Y,AY
sku18964,A,X,AX
sku16425,A,Z,AZ
sku5440,A,Z,AZ
sku28287,A,X,AX
sku1585,A,Z,AZ
sku19366,A,Y,AY
sku7573,A,Z,AZ
sku9958,A,Z,AZ
sku30017,A,Z,AZ
sku18571,A,X,AX
sku8579,A,X,AX
sku19199,A,X,AX
sku8166,A,X,AX
sku6416,A,X,AX
sku18300,A,Z,AZ
sku7488,A,Z,AZ
sku14640,A,Z,AZ
sku3211,A,X,AX
sku6770,A,Z,AZ
sku8578,A,Y,AY
sku30532,A,Z,AZ
sku7333,A,Z,AZ
sku18084,A,X,AX
sku14695,A,Z,AZ
sku24179,A,Z,AZ
sku25537,A,Z,AZ
sku29094,A,Z,AZ
sku26028,A,Z,AZ
sku550,A,Z,AZ
sku17562,A,Y,AY
sku13016,A,Z,AZ
sku14837,A,Y,AY
sku21426,A,Z,AZ
sku24700,A,Z,AZ
sku29962,A,Z,AZ
sku24385,A,X,AX
sku25146,A,X,AX
sku17583,A,X,AX
sku28814,A,Z,AZ
sku8752,A,Z,AZ
sku1265,A,X,AX
sku21507,A,Z,AZ
sku7321,A,Z,AZ
sku478,A,Z,AZ
sku28944,A,X,AX
sku25349,A,Z,AZ
sku5918,A,X,AX
sku21422,A,Z,AZ
sku1634,A,Z,AZ
sku14617,A,Z,AZ
sku27371,A,X,AX
sku24584,A,Z,AZ
sku22828,A,X,AX
sku14107,A,Z,AZ
sku9787,A,Z,AZ
sku10683,A,Y,AY
sku7874,A,Z,AZ
sku5462,A,Z,AZ
sku30378,A,Z,AZ
sku859,A,Z,AZ
sku1351,A,Z,AZ
sku6051,A,X,AX
sku24855,A,Z,AZ
sku3771,A,Z,AZ
sku9465,A,Z,AZ
sku7884,A,X,AX
sku13383,A,Z,AZ
sku15188,A,X,AX
sku22279,A,Z,AZ
sku7315,A,Z,AZ
sku27930,A,Z,AZ
sku6316,A,X,AX
sku21414,A,Y,AY
sku17674,A,Z,AZ
sku11277,A,Z,AZ
sku2339,A,Z,AZ
sku23200,A,Z,AZ
sku25361,A,X,AX
sku22829,A,Y,AY
sku17233,A,Z,AZ
sku21216,A,Z,AZ
sku3569,A,Z,AZ
sku14706,A,Z,AZ
sku14115,A,Z,AZ
sku8963,A,X,AX
sku19447,A,X,AX
sku697,A,Z,AZ
sku5903,A,Z,AZ
sku13941,A,Z,AZ
sku28734,A,X,AX
sku1799,A,Z,AZ
sku10573,A,X,AX
sku8816,A,Y,AY
sku17782,A,X,AX
sku14878,A,Z,AZ
sku3459,A,X,AX
sku12570,A,Z,AZ
sku7572,A,Z,AZ
sku29620,A,X,AX
sku26806,A,X,AX
sku15904,A,X,AX
sku22214,A,X,AX
sku13695,A,Z,AZ
sku1947,A,Z,AZ
sku17654,A,Z,AZ
sku1209,A,Z,AZ
sku22411,A,Z,AZ
sku13851,A,Z,AZ
sku20316,A,Z,AZ
sku21237,A,Z,AZ
sku3395,A,X,AX
sku5009,A,Z,AZ
sku25902,A,X,AX
sku14274,A,X,AX
sku23893,A,Z,AZ
sku13557,A,Z,AZ
sku13211,A,Z,AZ
sku21098,A,Z,AZ
sku21288,A,Z,AZ
sku23717,A,Z,AZ
sku18023,A,Z,AZ
sku20430,A,Z,AZ
sku22394,A,Y,AY
sku27774,A,Z,AZ
sku21164,A,X,AX
sku4947,A,Z,AZ
sku6093,A,X,AX
sku799,A,X,AX
sku14206,A,Z,AZ
sku4633,A,Z,AZ
sku6732,A,Z,AZ
sku7322,A,Z,AZ
sku29117,A,X,AX
sku10536,A,Z,AZ
sku27907,A,X,AX
sku12414,A,X,AX
sku13431,A,X,AX
sku13840,A,X,AX
sku878,A,Z,AZ
sku25726,A,Z,AZ
sku19926,A,X,AX
sku1628,A,Z,AZ
sku13899,A,X,AX
sku1010,A,Z,AZ
sku1906,A,Z,AZ
sku13119,A,X,AX
sku11109,A,Z,AZ
sku12939,A,Z,AZ
sku24823,A,Z,AZ
sku19611,A,Z,AZ
sku16859,A,Z,AZ
sku29738,A,X,AX
sku9350,A,Z,AZ
sku13879,A,X,AX
sku28584,A,X,AX
sku5452,A,X,AX
sku30317,A,Z,AZ
sku21790,A,X,AX
sku20495,A,X,AX
sku20928,A,Z,AZ
sku30565,A,X,AX
sku23892,A,Y,AY
sku6849,A,Z,AZ
sku763,A,Z,AZ
sku22761,A,Z,AZ
sku15801,A,Z,AZ
sku15114,A,X,AX
sku27764,A,Z,AZ
sku15935,A,Z,AZ
sku4020,A,X,AX
sku4976,A,Z,AZ
sku24830,A,X,AX
sku2237,A,X,AX
sku23961,A,Z,AZ
sku4894,A,Z,AZ
sku27019,A,Z,AZ
sku20120,A,Z,AZ
sku14960,A,Y,AY
sku21250,A,X,AX
sku22802,A,X,AX
sku18786,A,X,AX
sku27434,A,Z,AZ
sku6050,A,X,AX
sku8726,A,Z,AZ
sku22857,A,Z,AZ
sku1288,A,Z,AZ
sku9262,A,Z,AZ
sku24820,A,Z,AZ
sku15373,A,X,AX
sku21388,A,X,AX
sku11508,A,Z,AZ
sku29516,A,Z,AZ
sku16000,A,X,AX
sku11628,A,Y,AY
sku2598,A,Z,AZ
sku24341,A,Y,AY
sku6216,A,Z,AZ
sku21570,A,Z,AZ
sku24580,A,Z,AZ
sku16010,A,X,AX
sku22402,A,Z,AZ
sku24746,A,Z,AZ
sku14436,A,Z,AZ
sku12192,A,X,AX
sku1570,A,Z,AZ
sku11386,A,X,AX
sku15275,A,X,AX
sku24838,A,Y,AY
sku10415,A,Z,AZ
sku17521,A,X,AX
sku21395,A,Z,AZ
sku3022,A,Z,AZ
sku8313,A,Z,AZ
sku15396,A,Z,AZ
sku22998,A,Z,AZ
sku26414,A,Z,AZ
sku18638,A,Y,AY
sku5757,A,Z,AZ
sku3831,A,X,AX
sku29872,A,X,AX
sku26259,A,Z,AZ
sku14312,A,Z,AZ
sku11086,A,Z,AZ
sku15071,A,Z,AZ
sku14847,A,Y,AY
sku24678,A,Z,AZ
sku16714,A,X,AX
sku25225,A,X,AX
sku2398,A,Z,AZ
sku25873,A,X,AX
sku9368,A,X,AX
sku17950,A,X,AX
sku4162,A,Z,AZ
sku3595,A,Z,AZ
sku22373,A,X,AX
sku21415,A,Z,AZ
sku28410,A,Y,AY
sku22187,A,Z,AZ
sku16656,A,Z,AZ
sku10863,A,X,AX
sku9355,A,X,AX
sku4986,A,Z,AZ
sku960,A,Y,AY
sku4523,A,Z,AZ
sku9814,A,X,AX
sku6127,A,Z,AZ
sku22256,A,Z,AZ
sku9272,A,X,AX
sku9340,A,X,AX
sku21456,A,X,AX
sku10219,A,X,AX
sku1772,A,X,AX
sku9010,A,Z,AZ
sku25973,A,Z,AZ
sku27292,A,Z,AZ
sku1219,A,Z,AZ
sku9542,A,Z,AZ
sku2707,A,Z,AZ
sku21083,A,Z,AZ
sku13266,A,Z,AZ
sku18943,A,Z,AZ
sku20237,A,Z,AZ
sku8520,A,Z,AZ
sku26880,A,X,AX
sku21581,A,Z,AZ
sku26736,A,X,AX
sku18167,A,Z,AZ
sku18447,A,Z,AZ
sku29812,A,Z,AZ
sku12413,A,Z,AZ
sku14374,A,X,AX
sku7427,A,Y,AY
sku8254,A,Z,AZ
sku6611,A,Z,AZ
sku6709,A,Z,AZ
sku9275,A,Z,AZ
sku6145,A,Z,AZ
sku18063,A,Z,AZ
sku15731,A,Z,AZ
sku18517,A,Z,AZ
sku28368,A,Z,AZ
sku18772,A,Z,AZ
sku30132,A,X,AX
sku21836,A,Z,AZ
sku2088,A,X,AX
sku10373,A,Z,AZ
sku20737,A,Z,AZ
sku29628,A,Z,AZ
sku24005,A,Z,AZ
sku29172,A,Z,AZ
sku23490,A,X,AX
sku5210,A,X,AX
sku27463,A,Z,AZ
sku13876,A,Z,AZ
sku28753,A,Z,AZ
sku12674,A,X,AX
sku11563,A,Z,AZ
sku26717,A,X,AX
sku2531,A,Z,AZ
sku17264,A,X,AX
sku11703,A,Z,AZ
sku807,A,X,AX
sku27650,A,X,AX
sku1984,A,Z,AZ
sku18938,A,X,AX
sku20067,A,Z,AZ
sku4735,A,Z,AZ
sku26682,A,Z,AZ
sku7027,A,X,AX
sku5763,A,Z,AZ
sku12045,A,X,AX
sku13696,A,X,AX
sku28080,A,Z,AZ
sku22485,A,X,AX
sku17189,A,Z,AZ
sku19559,A,Z,AZ
sku1620,A,Z,AZ
sku13676,A,X,AX
sku2492,A,X,AX
sku3997,A,Z,AZ
sku7502,A,Z,AZ
sku21057,A,Y,AY
sku11047,A,Z,AZ
sku7223,A,Z,AZ
sku9540,A,X,AX
sku4838,A,Z,AZ
sku17069,A,X,AX
sku28627,A,Z,AZ
sku17056,A,Z,AZ
sku26354,A,X,AX
sku19256,A,X,AX
sku7219,A,Z,AZ
sku11751,A,Z,AZ
sku12442,A,X,AX
sku17418,A,X,AX
sku6143,A,Z,AZ
sku3484,A,Z,AZ
sku387,A,Z,AZ
sku10825,A,Z,AZ
sku8836,A,X,AX
sku24803,A,Z,AZ
sku3471,A,Z,AZ
sku26417,A,Z,AZ
sku21377,A,X,AX
sku8568,A,X,AX
sku4180,A,X,AX
sku14032,A,Z,AZ
sku15166,A,Z,AZ
sku12364,A,X,AX
sku5670,A,X,AX
sku4872,A,Y,AY
sku26721,A,X,AX
sku838,A,Z,AZ
sku20014,A,Z,AZ
sku4858,A,Z,AZ
sku17696,A,Z,AZ
sku23810,A,Z,AZ
sku25198,A,Y,AY
sku12776,A,Z,AZ
sku4150,A,Z,AZ
sku15780,A,Z,AZ
sku12636,A,X,AX
sku2443,A,X,AX
sku4642,A,X,AX
sku22684,A,Z,AZ
sku20655,A,X,AX
sku1179,A,Z,AZ
sku16065,A,Z,AZ
sku11206,A,Z,AZ
sku2471,A,Z,AZ
sku24899,A,Z,AZ
sku29976,A,Y,AY
sku17354,A,X,AX
sku17738,A,Z,AZ
sku18598,A,X,AX
sku15135,A,Z,AZ
sku15721,A,X,AX
sku18079,A,Z,AZ
sku6989,A,Z,AZ
sku6804,A,Z,AZ
sku2955,A,Z,AZ
sku18641,A,Z,AZ
sku21359,A,Z,AZ
sku26932,A,X,AX
sku18444,A,Z,AZ
sku7974,A,Z,AZ
sku16242,A,Z,AZ
sku19985,A,Z,AZ
sku16133,A,X,AX
sku26032,A,Z,AZ
sku14061,A,Z,AZ
sku29862,A,X,AX
sku29234,A,Y,AY
sku7351,A,Z,AZ
sku15020,A,Z,AZ
sku12339,A,X,AX
sku12050,A,Z,AZ
sku9233,A,X,AX
sku3468,A,Z,AZ
sku20573,A,Z,AZ
sku23466,A,Y,AY
sku1472,A,X,AX
sku8962,A,Z,AZ
sku15164,A,X,AX
sku22092,A,Z,AZ
sku9390,A,X,AX
sku14652,A,Z,AZ
sku25573,A,Z,AZ
sku2729,A,Z,AZ
sku25130,A,Z,AZ
sku25150,A,Z,AZ
sku17031,A,Z,AZ
sku25356,A,X,AX
sku3455,A,Z,AZ
sku22260,A,Y,AY
sku2310,A,X,AX
sku26585,A,X,AX
sku25371,A,X,AX
sku26165,A,Z,AZ
sku29980,A,Z,AZ
sku6509,A,Z,AZ
sku14129,A,Z,AZ
sku28639,A,Z,AZ
sku20859,A,Z,AZ
sku5475,A,Z,AZ
sku3291,A,Z,AZ
sku5496,A,Z,AZ
sku14379,A,X,AX
sku13320,A,X,AX
sku2291,A,X,AX
sku28479,A,Z,AZ
sku2322,A,Z,AZ
sku2900,A,Z,AZ
sku5631,A,Z,AZ
sku6659,A,Z,AZ
sku25623,A,X,AX
sku30149,A,Y,AY
sku4669,A,X,AX
sku25811,A,Z,AZ
sku3697,A,Z,AZ
sku15224,A,X,AX
sku27183,A,Z,AZ
sku28736,A,X,AX
sku19679,A,X,AX
sku22363,A,Z,AZ
sku16015,A,Y,AY
sku10504,A,Z,AZ
sku5361,A,Z,AZ
sku10519,A,X,AX
sku19917,A,Z,AZ
sku16956,A,Z,AZ
sku28018,A,Z,AZ
sku28685,A,X,AX
sku3847,A,X,AX
sku4335,A,Z,AZ
sku17901,A,Z,AZ
sku14405,A,X,AX
sku1023,A,Z,AZ
sku19443,A,X,AX
sku29689,A,X,AX
sku17720,A,Z,AZ
sku18245,A,Z,AZ
sku23048,A,Z,AZ
sku17983,A,X,AX
sku13210,A,Z,AZ
sku18099,A,Z,AZ
sku25603,A,Z,AZ
sku15932,A,X,AX
sku28427,A,Z,AZ
sku3611,A,Y,AY
sku17140,A,Z,AZ
sku20793,A,X,AX
sku20413,A,Z,AZ
sku12622,A,Z,AZ
sku16034,A,Z,AZ
sku3335,A,Z,AZ
sku5105,A,X,AX
sku21653,A,Z,AZ
sku12215,A,X,AX
sku18721,A,X,AX
sku26946,A,Z,AZ
sku13552,A,Z,AZ
sku25276,A,Y,AY
sku112,A,Y,AY
sku17811,A,Z,AZ
sku17014,A,Z,AZ
sku628,A,X,AX
sku1797,A,Z,AZ
sku4809,A,Z,AZ
sku17711,A,Z,AZ
sku16414,A,X,AX
sku15053,A,Z,AZ
sku16150,A,Z,AZ
sku25490,A,Z,AZ
sku23235,A,Y,AY
sku5648,A,Z,AZ
sku11382,A,Z,AZ
sku16248,A,X,AX
sku1489,A,X,AX
sku14726,A,Z,AZ
sku26646,A,Z,AZ
sku28465,A,Z,AZ
sku12790,A,X,AX
sku30412,A,Z,AZ
sku20728,A,Z,AZ
sku1653,A,X,AX
sku16602,A,X,AX
sku3706,A,X,AX
sku9358,A,Z,AZ
sku26047,A,Z,AZ
sku4433,A,Z,AZ
sku9108,A,Z,AZ
sku12360,A,Z,AZ
sku89,A,X,AX
sku14868,A,Z,AZ
sku3547,A,Y,AY
sku28378,A,Z,AZ
sku2681,A,Z,AZ
sku18401,A,Z,AZ
sku10442,A,X,AX
sku6512,A,Z,AZ
sku29443,A,Z,AZ
sku14955,A,Z,AZ
sku9841,A,Z,AZ
sku16779,A,Z,AZ
sku22280,A,Z,AZ
sku13992,A,X,AX
sku10789,A,Z,AZ
sku12963,A,Z,AZ
sku15905,A,Z,AZ
sku12116,A,Z,AZ
sku10083,A,Z,AZ
sku8652,A,Z,AZ
sku27173,A,Z,AZ
sku9604,A,Z,AZ
sku15983,A,X,AX
sku17223,A,X,AX
sku2055,A,Z,AZ
sku1280,A,Z,AZ
sku19753,A,Z,AZ
sku26436,A,Z,AZ
sku25742,A,X,AX
sku24976,A,Y,AY
sku22571,A,X,AX
sku19553,A,Z,AZ
sku12708,A,Y,AY
sku7552,A,X,AX
sku29634,A,Z,AZ
sku7918,A,X,AX
sku3448,A,Y,AY
sku8533,A,X,AX
sku25899,A,Z,AZ
sku1343,A,Y,AY
sku27070,A,Z,AZ
sku335,A,Z,AZ
sku2558,A,Z,AZ
sku2170,A,X,AX
sku15561,A,X,AX
sku19916,A,Z,AZ
sku5183,A,Z,AZ
sku17323,A,Z,AZ
sku16118,A,Z,AZ
sku25035,A,Z,AZ
sku5218,A,Z,AZ
sku17588,A,Z,AZ
sku362,A,Z,AZ
sku25341,A,X,AX
sku22797,A,Z,AZ
sku13086,A,Z,AZ
sku3212,A,X,AX
sku21808,A,X,AX
sku27215,A,Z,AZ
sku1440,A,Z,AZ
sku10982,A,Z,AZ
sku9448,A,X,AX
sku9767,A,X,AX
sku14765,A,Y,AY
sku13181,A,Z,AZ
sku2712,A,Z,AZ
sku13251,A,Z,AZ
sku13323,A,X,AX
sku28626,A,Y,AY
sku7033,A,X,AX
sku12197,A,Z,AZ
sku24475,A,Z,AZ
sku27250,A,Z,AZ
sku1824,A,Z,AZ
sku3210,A,Z,AZ
sku28476,A,Z,AZ
sku19247,A,Y,AY
sku13821,A,Z,AZ
sku23266,A,X,AX
sku113,A,Z,AZ
sku7551,A,X,AX
sku19659,A,Z,AZ
sku13003,A,Z,AZ
sku28579,A,Z,AZ
sku4445,A,X,AX
sku25336,A,X,AX
sku24938,A,Z,AZ
sku3289,A,Y,AY
sku20431,A,Z,AZ
sku19997,A,Z,AZ
sku30045,A,X,AX
sku27572,A,Z,AZ
sku1815,A,Z,AZ
sku29120,A,X,AX
sku4885,A,Z,AZ
sku27301,A,Z,AZ
sku25534,A,Z,AZ
sku10704,A,Z,AZ
sku14813,A,X,AX
sku11395,A,Z,AZ
sku26407,A,Y,AY
sku16857,A,Z,AZ
sku23393,A,Z,AZ
sku4237,A,Z,AZ
sku11847,A,X,AX
sku23721,A,X,AX
sku26437,A,Z,AZ
sku24607,A,Z,AZ
sku20971,A,Z,AZ
sku12131,A,X,AX
sku21001,A,Z,AZ
sku25162,A,Z,AZ
sku5915,A,Y,AY
sku4995,A,X,AX
sku22216,A,Z,AZ
sku23543,A,X,AX
sku20255,A,Z,AZ
sku21211,A,Z,AZ
sku3721,A,X,AX
sku6894,A,X,AX
sku1722,A,Y,AY
sku6084,A,Z,AZ
sku15378,A,Z,AZ
sku6569,A,Z,AZ
sku1662,A,X,AX
sku12247,A,Y,AY
sku10307,A,Z,AZ
sku1477,A,Z,AZ
sku15816,A,Z,AZ
sku8541,A,Z,AZ
sku23943,A,Z,AZ
sku15679,A,Y,AY
sku23879,A,X,AX
sku24733,A,Z,AZ
sku26146,A,X,AX
sku15073,A,X,AX
sku7679,A,X,AX
sku26023,A,X,AX
sku13734,A,X,AX
sku8785,A,Y,AY
sku15819,A,Z,AZ
sku29692,A,Z,AZ
sku28917,A,Z,AZ
sku11180,A,Z,AZ
sku11281,A,Z,AZ
sku10132,A,Y,AY
sku8880,A,Z,AZ
sku24388,A,Z,AZ
sku29870,A,Z,AZ
sku24104,A,Z,AZ
sku11482,A,X,AX
sku29271,A,Z,AZ
sku11700,A,Z,AZ
sku25044,A,X,AX
sku13524,A,Z,AZ
sku7206,A,Y,AY
sku26495,A,Y,AY
sku15495,A,Z,AZ
sku30206,A,Z,AZ
sku17230,A,Y,AY
sku3359,A,X,AX
sku29734,A,Z,AZ
sku28950,A,Z,AZ
sku26361,A,Z,AZ
sku1727,A,Z,AZ
sku2987,A,X,AX
sku27043,A,Z,AZ
sku5416,A,Z,AZ
sku6447,A,Y,AY
sku3894,A,Z,AZ
sku3685,A,Z,AZ
sku20471,A,Z,AZ
sku8067,A,X,AX
sku29512,A,X,AX
sku19719,A,Z,AZ
sku8443,A,Z,AZ
sku9054,A,Z,AZ
sku15899,A,Z,AZ
sku9907,A,X,AX
sku22285,A,Z,AZ
sku1174,A,Y,AY
sku24802,A,Z,AZ
sku29974,A,Z,AZ
sku16599,A,X,AX
sku13558,A,X,AX
sku3562,A,X,AX
sku23463,A,X,AX
sku6544,A,X,AX
sku14550,A,Z,AZ
sku5517,A,Z,AZ
sku9851,A,Z,AZ
sku27891,A,Z,AZ
sku6525,A,Z,AZ
sku1191,A,Z,AZ
sku24606,A,X,AX
sku25600,A,Z,AZ
sku6506,A,Z,AZ
sku2725,A,X,AX
sku21881,A,X,AX
sku23323,A,Z,AZ
sku11139,A,Z,AZ
sku6418,A,Z,AZ
sku30002,A,X,AX
sku16571,A,Z,AZ
sku17256,A,Z,AZ
sku4186,A,Z,AZ
sku29878,A,Z,AZ
sku29505,A,Z,AZ
sku22613,A,Z,AZ
sku29635,A,Z,AZ
sku27081,A,Z,AZ
sku14473,A,Z,AZ
sku691,A,Z,AZ
sku7513,A,X,AX
sku11925,A,Z,AZ
sku27947,A,Z,AZ
sku18848,A,X,AX
sku12185,A,Z,AZ
sku28003,A,X,AX
sku19150,A,Z,AZ
sku8204,A,Z,AZ
sku3796,A,Z,AZ
sku11576,A,Z,AZ
sku14253,A,Z,AZ
sku16046,A,Z,AZ
sku30167,A,X,AX
sku25236,A,X,AX
sku7214,A,Z,AZ
sku7769,A,Z,AZ
sku23757,A,X,AX
sku292,A,X,AX
sku15077,A,X,AX
sku15989,A,Z,AZ
sku28133,A,X,AX
sku20179,A,Z,AZ
sku21099,A,X,AX
sku19632,A,X,AX
sku19908,A,Z,AZ
sku7313,A,Z,AZ
sku2082,A,Z,AZ
sku15765,A,X,AX
sku20315,A,Z,AZ
sku11612,A,Z,AZ
sku27477,A,Z,AZ
sku25118,A,Z,AZ
sku7099,A,Y,AY
sku29236,A,Z,AZ
sku18254,A,Y,AY
sku9400,A,Z,AZ
sku30011,A,Z,AZ
sku2920,A,X,AX
sku9998,A,Z,AZ
sku15012,A,Z,AZ
sku28819,A,Z,AZ
sku25139,A,Z,AZ
sku3027,A,Z,AZ
sku16301,A,Z,AZ
sku25671,A,Z,AZ
sku10128,A,Z,AZ
sku24889,A,Z,AZ
sku2746,A,Z,AZ
sku6850,A,X,AX
sku6196,A,X,AX
sku17060,A,X,AX
sku9287,A,Z,AZ
sku21481,A,X,AX
sku24242,A,Z,AZ
sku14237,A,Z,AZ
sku3945,A,Z,AZ
sku27374,A,Y,AY
sku26658,A,X,AX
sku25628,A,Z,AZ
sku25511,A,Z,AZ
sku27261,A,X,AX
sku6261,A,Z,AZ
sku24368,A,Z,AZ
sku29083,A,Z,AZ
sku30416,A,Z,AZ
sku9504,A,Z,AZ
sku12354,A,X,AX
sku10709,A,X,AX
sku5129,A,X,AX
sku6593,A,Z,AZ
sku346,A,Z,AZ
sku786,A,X,AX
sku9881,A,Z,AZ
sku22330,A,X,AX
sku433,A,Z,AZ
sku5486,A,Z,AZ
sku16910,A,X,AX
sku27765,A,Z,AZ
sku29553,A,Z,AZ
sku2821,A,Z,AZ
sku24661,A,Y,AY
sku11433,A,X,AX
sku3361,A,Z,AZ
sku11049,A,Z,AZ
sku1373,A,Z,AZ
sku2580,A,X,AX
sku21843,A,Z,AZ
sku1894,A,X,AX
sku2635,A,Y,AY
sku29393,A,Z,AZ
sku12431,A,Y,AY
sku2894,A,Z,AZ
sku1583,A,Y,AY
sku2908,A,X,AX
sku11781,A,Z,AZ
sku16578,A,X,AX
sku19585,A,X,AX
sku5775,A,X,AX
sku24451,A,Z,AZ
sku16745,A,Z,AZ
sku24777,A,Z,AZ
sku2019,A,Y,AY
sku18350,A,Z,AZ
sku7969,A,Z,AZ
sku12545,A,Z,AZ
sku22246,A,Z,AZ
sku7500,A,Z,AZ
sku4789,A,X,AX
sku21134,A,Z,AZ
sku11858,A,Z,AZ
sku3128,A,Z,AZ
sku26131,A,X,AX
sku28478,A,Z,AZ
sku27054,A,X,AX
sku29746,A,X,AX
sku5171,A,Z,AZ
sku24779,A,Z,AZ
sku29438,A,X,AX
sku3080,A,Z,AZ
sku3941,A,Z,AZ
sku14468,A,X,AX
sku28068,A,Y,AY
sku21879,A,Y,AY
sku14413,A,Z,AZ
sku9804,A,Z,AZ
sku3762,A,Z,AZ
sku323,A,X,AX
sku20868,A,Z,AZ
sku5047,A,X,AX
sku10707,A,Z,AZ
sku8449,A,Z,AZ
sku25303,A,Z,AZ
sku29685,A,X,AX
sku18792,A,Y,AY
sku10312,A,Z,AZ
sku457,A,Z,AZ
sku17662,A,X,AX
sku12987,A,X,AX
sku11099,A,Z,AZ
sku4289,A,Z,AZ
sku20858,A,Y,AY
sku23934,A,Z,AZ
sku16363,A,X,AX
sku16818,A,X,AX
sku21118,A,X,AX
sku14636,A,Z,AZ
sku7431,A,Z,AZ
sku10279,A,Z,AZ
sku17124,A,Z,AZ
sku10136,A,Z,AZ
sku6586,A,Z,AZ
sku1420,A,Z,AZ
sku21172,A,X,AX
sku23357,A,Z,AZ
sku17235,A,Z,AZ
sku12619,A,Z,AZ
sku29333,A,Z,AZ
sku23483,A,Z,AZ
sku5934,A,Z,AZ
sku21275,A,Z,AZ
sku9224,A,Z,AZ
sku27894,A,X,AX
sku18156,A,Z,AZ
sku18871,A,Z,AZ
sku12847,A,Z,AZ
sku6071,A,X,AX
sku25687,A,X,AX
sku18853,A,Z,AZ
sku11466,A,X,AX
sku9790,A,Z,AZ
sku4456,A,Z,AZ
sku16328,A,X,AX
sku12541,A,Z,AZ
sku5039,A,X,AX
sku29338,A,X,AX
sku10436,A,X,AX
sku8194,A,X,AX
sku10124,A,Z,AZ
sku16868,A,Z,AZ
sku29030,A,Z,AZ
sku18316,A,Z,AZ
sku7688,A,X,AX
sku25454,A,Y,AY
sku303,A,X,AX
sku24122,A,X,AX
sku20004,A,Z,AZ
sku20131,A,Z,AZ
sku8862,A,X,AX
sku9959,A,X,AX
sku9887,A,Z,AZ
sku16628,A,Y,AY
sku25386,A,Z,AZ
sku9850,A,Z,AZ
sku18018,A,Z,AZ
sku17865,A,Z,AZ
sku11596,A,Z,AZ
sku15961,A,Z,AZ
sku25528,A,Z,AZ
sku25323,A,Z,AZ
sku9727,A,Z,AZ
sku1605,A,Z,AZ
sku28664,A,X,AX
sku29708,A,Z,AZ
sku30523,A,X,AX
sku15956,A,Z,AZ
sku21971,A,X,AX
sku26318,A,Z,AZ
sku16136,A,Z,AZ
sku9388,A,Z,AZ
sku30061,A,Z,AZ
sku30084,A,X,AX
sku15343,A,Z,AZ
sku15314,A,Z,AZ
sku19046,A,X,AX
sku3607,A,X,AX
sku18756,A,Y,AY
sku24059,A,Z,AZ
sku16420,A,Z,AZ
sku570,A,X,AX
sku17489,A,Y,AY
sku14871,A,Z,AZ
sku12204,A,Z,AZ
sku28796,A,Z,AZ
sku6859,A,X,AX
sku24387,A,Z,AZ
sku7563,A,Z,AZ
sku11268,A,Z,AZ
sku27329,A,Y,AY
sku9206,A,Z,AZ
sku14842,A,X,AX
sku4422,A,Z,AZ
