clientID,quantity,amount,visits
client10395,41,14315,8
client10396,5,4335,1
client10397,92,23720,17
client10398,44,3684,5
client10399,122,19428,25
client104,13,2096,2
client1040,24,3169,3
client10400,22,6390,7
client10401,15,3941,5
client10402,1,4999,1
client10403,56,7383,12
client10404,409,38551,96
client10405,40,7454,4
client10406,5,1110,2
client10407,8,2284,4
client10408,72,3467,11
client10409,11,16713,3
client1041,4,8266,2
client10410,44,12714,7
client10411,43,9168,10
client10412,10,1690,5
client10413,3,1489,2
client10414,29,842,1
client10415,5,1965,1
client10416,28,6689,7
client10417,9,4872,2
client10418,12,1368,1
client10419,42,4134,6
client1042,153,44609,12
client10420,4,229,1
client10421,46,11759,5
client10422,21,2705,1
client10423,18,1052,1
client10424,26,4998,5
client10425,201,59081,16
client10426,1,415,1
client10427,109,21275,5
client10428,6,2650,3
client10429,1,1499,1
client1043,22,3226,1
client10430,77,5151,6
client10431,37,3992,8
client10432,5,3324,2
client10433,19,18656,2
client10434,6,3984,1
client10435,129,24974,24
client10436,4,17487,1
client10437,16,2792,6
client10438,22,3762,12
client10439,228,92840,13
client1044,7,2128,2
client10440,2,58,1
client10441,31,25327,3
client10442,30,6868,4
client10443,1,32,1
client10444,1,1313,1
client10445,25,12006,1
client10446,10,1489,2
client10447,3,6641,1
client10448,19,15796,4
client10449,15,1325,3
client1045,76,18105,5
client10450,1,2699,1
client10451,59,11245,3
client10452,6,1680,3
client10453,36,5301,4
client10454,55,1455,1
client10455,15,1857,4
client10456,11,2262,1
client10457,96,5761,10
client10458,93,14457,15
client10459,55,18200,5
client1046,35,10049,11
client10460,4,1966,1
client10461,8,1636,3
client10462,1,3499,1
client10463,1,6299,1
client10464,18,5238,2
client10465,6,2096,2
client10466,193,42263,5
client10467,14,5970,1
client10468,25,1757,4
client10469,25,2873,3
client1047,3,1302,1
client10470,5,1316,1
client10471,5,1565,1
client10472,26,3180,3
client10473,149,46839,17
client10474,50,5842,3
client10475,84,11771,12
client10476,283,149386,15
client10477,57,29874,4
client10478,9,4669,1
client10479,60,18933,6
client1048,19,2697,3
client10480,235,122321,24
client10481,284,100469,39
client10482,16,4305,2
client10483,8,1043,1
client10484,97,59804,7
client10485,7,3578,2
client10486,49,62157,14
client10487,109,21316,27
client10488,1,29,1
client10489,3,1183,1
client1049,42,1050,1
client10490,18,4716,1
client10491,3,3937,3
client10492,1,3299,1
client10493,15,4694,4
client10494,79,36836,10
client10495,167,18834,14
client10496,1,2444,1
client10497,10,801,4
client10498,5,7245,1
client10499,9,3225,4
client105,41,5522,3
client1050,6,2586,2
client10500,7,1027,1
client10501,64,11417,9
client10502,15,7399,3
client10503,488,94396,91
client10504,49,11808,12
client10505,6,1733,2
client10506,3,297,1
client10507,35,35834,2
client10508,49,19124,8
client10509,72,23189,8
client1051,1,5299,1
client10510,63,2956,2
client10511,190,22530,25
client10512,44,8023,8
client10513,272,87252,20
client10514,55,16265,6
client10515,28,1415,2
client10516,127,50615,5
client10517,36,18529,4
